Country,Country:de,Country:es,Country:fr,Country:nb,Capital,Capital:de,Capital:es,Capital:fr,Capital:nb
American Samoa,Amerikanisch-Samoa,Samoa Americana,Samoa américaines,Amerikansk Samoa,[[Pago Pago]],Pago Pago,Pago Pago,Pago Pago,Pago Pago
Northern Mariana Islands,Nördliche Marianen,Islas Marianas del Norte,Îles Mariannes du Nord,Nord-Marianene,[[Saipan]],Saipan,Saipán,Saipan,Saipan
Aruba,Aruba,Aruba,Aruba,Aruba,"[[Oranjestad, Aruba|Oranjestad]]",Oranjestad,Oranjestad,Oranjestad,Oranjestad
Abkhazia,Abchasien,Abjasia,Abkhazie,Abkhasia,[[Sukhumi]],Sochumi,Sujumi,Soukhoumi,Sukhumi
Sint Maarten,Sint Maarten,San Martín (Países Bajos),Saint-Martin (royaume des Pays-Bas),Sint Maarten,"[[Philipsburg, Sint Maarten|Philipsburg]]",Philipsburg (Begriffsklärung),Philipsburg (desambiguación),Philipsburg,
Artsakh,,,,,,Stepanakert,Stepanakert,Stepanakert,Stepanakert
Tonga,Tonga,Tonga,Tonga,Tonga,[[Nukuʻalofa]],,,,
Transnistria,Transnistrien,Transnistria,Transnistrie (État),Transnistria,[[Tiraspol]],Tiraspol,Tiráspol,Tiraspol,Tiraspol
Sardinia,Sardinien,Cerdeña,Sardaigne,Sardinia,,Cagliari,Cagliari,Cagliari,Cagliari
Kaliningrad Oblast,Oblast Kaliningrad,Óblast de Kaliningrado,Oblast de Kaliningrad,Kaliningrad oblast,,Kaliningrad,Kaliningrado,Kaliningrad,Kaliningrad
Martinique,Martinique,Martinica,Martinique,Martinique,,Fort-de-France,Fort-de-France,Fort-de-France,Fort-de-France
Java,Java (Insel),Java (isla),Java (île),Java (øy),,,,,
Corsica,Korsika,Córcega,Corse,Korsika,,Ajaccio,Ajaccio,Ajaccio,Ajaccio
European Union,Europäische Union,Unión Europea,Union européenne,Den europeiske union,[[City of Brussels|Brussels]] (''[[Brussels and the European Union|de facto]]''),Region Brüssel-Hauptstadt,Región de Bruselas-Capital,Région de Bruxelles-Capitale,Brussel
Gulf of Mexico,Golf von Mexiko,Golfo de México,Golfe du Mexique,Mexicogolfen,,,,,
Philippine Sea,Philippinensee,Mar de Filipinas,Mer des Philippines,Filippinerhavet,,,,,
Southern Ocean,Südlicher Ozean,Océano Antártico,Océan Austral,Sørishavet,,,,,
Gulf of Thailand,Golf von Thailand,Golfo de Tailandia,Golfe de Thaïlande,Thailandbukta,,,,,
Micronesia,Mikronesien,Micronesia,Micronésie (région),Mikronesia,,,,,
Pacific Ocean,Pazifischer Ozean,Océano Pacífico,Océan Pacifique,Stillehavet,,,,,
Atlantic Ocean,Atlantischer Ozean,Océano Atlántico,Océan Atlantique,Atlanterhavet,,,,,
Indian Ocean,Indischer Ozean,Océano Índico,Océan Indien,Indiahavet,,,,,
Arctic Ocean,Arktischer Ozean,Océano Ártico,Océan Arctique,Nordishavet,,,,,
